Date,Product_ID,Store_ID,Units_Sold,Revenue,Promotion,Holiday
2023-01-01,P001,S001,162,32400,0,1
2023-01-01,P001,S002,209,41800,0,1
2023-01-01,P001,S003,163,32600,0,1
2023-01-01,P002,S001,240,60000,0,1
2023-01-01,P002,S002,243,60750,0,1
2023-01-01,P002,S003,191,47750,0,1
2023-01-01,P003,S001,117,17550,0,1
2023-01-01,P003,S002,183,27450,0,1
2023-01-01,P003,S003,128,19200,0,1
2023-01-01,P004,S001,250,75000,0,1
2023-01-01,P004,S002,291,87300,0,1
2023-01-01,P004,S003,251,75300,0,1
2023-01-01,P005,S001,194,34920,0,1
2023-01-01,P005,S002,212,38160,0,1
2023-01-01,P005,S003,165,29700,0,1
2023-01-02,P001,S001,139,27800,0,0
2023-01-02,P001,S002,136,27200,0,0
2023-01-02,P001,S003,115,23000,0,0
2023-01-02,P002,S001,158,39500,0,0
2023-01-02,P002,S002,191,47750,0,0
2023-01-02,P002,S003,177,44250,0,0
2023-01-02,P003,S001,118,17700,0,0
2023-01-02,P003,S002,151,22650,1,0
2023-01-02,P003,S003,124,18600,1,0
2023-01-02,P004,S001,178,53400,0,0
2023-01-02,P004,S002,194,58200,0,0
2023-01-02,P004,S003,186,55800,1,0
2023-01-02,P005,S001,130,23400,0,0
2023-01-02,P005,S002,168,30240,0,0
2023-01-02,P005,S003,135,24300,0,0
2023-01-03,P001,S001,152,30400,1,0
2023-01-03,P001,S002,141,28200,0,0
2023-01-03,P001,S003,123,24600,1,0
2023-01-03,P002,S001,175,43750,0,0
2023-01-03,P002,S002,203,50750,0,0
2023-01-03,P002,S003,135,33750,0,0
2023-01-03,P003,S001,118,17700,1,0
2023-01-03,P003,S002,123,18450,0,0
2023-01-03,P003,S003,130,19500,1,0
2023-01-03,P004,S001,199,59700,0,0
2023-01-03,P004,S002,215,64500,0,0
2023-01-03,P004,S003,173,51900,0,0
2023-01-03,P005,S001,124,22320,0,0
2023-01-03,P005,S002,174,31320,0,0
2023-01-03,P005,S003,145,26100,1,0
2023-01-04,P001,S001,136,27200,1,0
2023-01-04,P001,S002,146,29200,0,0
2023-01-04,P001,S003,112,22400,0,0
2023-01-04,P002,S001,201,50250,1,0
2023-01-04,P002,S002,243,60750,1,0
2023-01-04,P002,S003,193,48250,1,0
2023-01-04,P003,S001,131,19650,1,0
2023-01-04,P003,S002,121,18150,0,0
2023-01-04,P003,S003,94,14100,0,0
2023-01-04,P004,S001,183,54900,1,0
2023-01-04,P004,S002,229,68700,0,0
2023-01-04,P004,S003,181,54300,0,0
2023-01-04,P005,S001,138,24840,0,0
2023-01-04,P005,S002,149,26820,0,0
2023-01-04,P005,S003,168,30240,1,0
2023-01-05,P001,S001,155,31000,1,0
2023-01-05,P001,S002,129,25800,0,0
2023-01-05,P001,S003,117,23400,0,0
2023-01-05,P002,S001,156,39000,0,0
2023-01-05,P002,S002,193,48250,0,0
2023-01-05,P002,S003,142,35500,0,0
2023-01-05,P003,S001,110,16500,0,0
2023-01-05,P003,S002,124,18600,0,0
2023-01-05,P003,S003,91,13650,0,0
2023-01-05,P004,S001,206,61800,0,0
2023-01-05,P004,S002,248,74400,0,0
2023-01-05,P004,S003,194,58200,0,0
2023-01-05,P005,S001,134,24120,0,0
2023-01-05,P005,S002,173,31140,0,0
2023-01-05,P005,S003,143,25740,0,0
2023-01-06,P001,S001,138,27600,0,0
2023-01-06,P001,S002,156,31200,0,0
2023-01-06,P001,S003,105,21000,0,0
2023-01-06,P002,S001,169,42250,0,0
2023-01-06,P002,S002,183,45750,0,0
2023-01-06,P002,S003,141,35250,0,0
2023-01-06,P003,S001,112,16800,0,0
2023-01-06,P003,S002,165,24750,1,0
2023-01-06,P003,S003,116,17400,0,0
2023-01-06,P004,S001,171,51300,0,0
2023-01-06,P004,S002,244,73200,0,0
2023-01-06,P004,S003,183,54900,0,0
2023-01-06,P005,S001,153,27540,0,0
2023-01-06,P005,S002,164,29520,0,0
2023-01-06,P005,S003,134,24120,0,0
2023-01-07,P001,S001,144,28800,0,0
2023-01-07,P001,S002,147,29400,0,0
